signal_id,entry_ts,last_seen_ts,L_days,R_days,type
191,20111011093729,20120915035117,339,359,interval
315,20111011093729,20111011093729,0,25,interval
141,20111011093729,20111011093729,0,25,interval
106,20111011093729,20111011093729,0,25,interval
149,20111011093729,20111011093729,0,25,interval
335,20111011093729,20111105235151,25,79,interval
124,20111011093729,20111011093729,0,25,interval
328,20111011093729,20120915035117,339,359,interval
134,20111011093729,20111011093729,0,25,interval
361,20111011093729,20111011093729,0,25,interval
151,20111105235151,20120114012406,69,106,interval
258,20111105235151,20120915035117,314,334,interval
376,20111105235151,20120915035117,314,334,interval
53,20111105235151,20120915035117,314,334,interval
279,20111105235151,20111105235151,0,54,interval
384,20111105235151,20120915035117,314,334,interval
15,20111105235151,20120915035117,314,334,interval
337,20111230085824,20120114012406,14,52,interval
292,20111230085824,20120915035117,259,279,interval
331,20111230085824,20120915035117,259,279,interval
273,20120220091717,20120915035117,207,227,interval
6,20120805222021,20120805222021,0,40,interval
8,20120805222021,20120805222021,0,40,interval
10,20120805222021,20120805222021,0,40,interval
1,20120805222021,20120805222021,0,40,interval
5,20120805222021,20120805222021,0,40,interval
7,20120805222021,20120805222021,0,40,interval
9,20120805222021,20120805222021,0,40,interval
411,20120805222021,20120805222021,0,40,interval
3,20120805222021,20120805222021,0,40,interval
2,20120805222021,20120805222021,0,40,interval
4,20120805222021,20120805222021,0,40,interval
829,20121005032441,20121005032441,0,27,interval
499,20121005032441,20121005032441,0,27,interval
701,20121005032441,20121005032441,0,27,interval
498,20121005032441,20121005032441,0,27,interval
853,20121005032441,20121005032441,0,27,interval
528,20121005032441,20121005032441,0,27,interval
733,20121005032441,20121005032441,0,27,interval
711,20121005032441,20121005032441,0,27,interval
700,20121005032441,20121102022936,27,59,interval
705,20121005032441,20121005032441,0,27,interval
967,20121102022936,20121102022936,0,31,interval
568,20121102022936,20121102022936,0,31,interval
549,20121102022936,20121203192611,31,62,interval
965,20121102022936,20121102022936,0,31,interval
972,20121102022936,20121102022936,0,31,interval
979,20121102022936,20121102022936,0,31,interval
588,20121102022936,20130103065407,62,91,interval
630,20121102022936,20121102022936,0,31,interval
969,20121102022936,20121102022936,0,31,interval
961,20121102022936,20121102022936,0,31,interval
970,20121102022936,20121102022936,0,31,interval
964,20121102022936,20121102022936,0,31,interval
873,20121102022936,20121203192611,31,62,interval
982,20121102022936,20121102022936,0,31,interval
984,20121102022936,20121102022936,0,31,interval
674,20121102022936,20130103065407,62,91,interval
966,20121102022936,20121102022936,0,31,interval
839,20121102022936,20130103065407,62,91,interval
776,20121102022936,20121203192611,31,62,interval
1662,20121203192611,20121203192611,0,30,interval
832,20121203192611,20121203192611,0,30,interval
1079,20121203192611,20121203192611,0,30,interval
1218,20121203192611,20140301093446,452,483,interval
1275,20121203192611,20130103065407,30,60,interval
1808,20121203192611,20121203192611,0,30,interval
777,20121203192611,20121203192611,0,30,interval
462,20121203192611,20121203192611,0,30,interval
1694,20121203192611,20121203192611,0,30,interval
1710,20121203192611,20140203090342,426,452,interval
1788,20121203192611,20130301103949,87,119,interval
687,20121203192611,20121203192611,0,30,interval
1280,20121203192611,20130202005907,60,87,interval
446,20121203192611,20130103065407,30,60,interval
1072,20121203192611,20130103065407,30,60,interval
2065,20130103065407,20130103065407,0,29,interval
745,20130103065407,20130103065407,0,29,interval
