support_left_days,support_right_days,mass,survival_after
0.0,7.0,0.158578,0.841422
7.0,8.0,0.257335,0.584087
8.0,11.0,0.157939,0.426148
14.0,19.0,0.018041,0.408108
26.0,27.0,0.041116,0.366992
31.0,32.0,0.000967,0.366025
33.0,34.0,0.036505,0.32952
34.0,35.0,0.005378,0.324142
36.0,39.0,0.011646,0.312496
45.0,46.0,0.026097,0.286398
47.0,49.0,0.011194,0.275205
51.0,52.0,0.00224,0.272965
68.0,69.0,0.009546,0.263419
77.0,78.0,0.034019,0.2294
89.0,90.0,0.015115,0.214285
90.0,91.0,0.025696,0.188589
91.0,92.0,0.000361,0.188228
103.0,105.0,0.020126,0.168102
118.0,119.0,0.014669,0.153433
121.0,122.0,0.001325,0.152108
123.0,124.0,0.001391,0.150717
126.0,127.0,0.001375,0.149342
141.0,142.0,0.015696,0.133645
145.0,147.0,0.001145,0.132501
153.0,154.0,0.005503,0.126998
158.0,159.0,0.01381,0.113189
177.0,178.0,0.002303,0.110885
182.0,183.0,0.008871,0.102014
205.0,207.0,0.009597,0.092417
214.0,216.0,0.007638,0.084779
219.0,222.0,0.003753,0.081026
244.0,245.0,0.004376,0.07665
245.0,246.0,0.002809,0.07384
259.0,261.0,0.005737,0.068104
261.0,262.0,0.006185,0.061919
274.0,275.0,0.00223,0.059688
277.0,279.0,0.004507,0.055182
314.0,316.0,0.011242,0.04394
329.0,332.0,0.000364,0.043576
341.0,358.0,0.00458,0.038996
390.0,392.0,0.005866,0.03313
426.0,427.0,0.009062,0.024068
478.0,482.0,0.004783,0.019284
514.0,519.0,0.002965,0.01632
589.0,603.0,0.002274,0.014045
637.0,646.0,0.001886,0.01216
648.0,661.0,0.000389,0.011771
715.0,727.0,0.003771,0.008
763.0,769.0,0.003234,0.004766
873.0,905.0,0.001216,0.00355
935.0,948.0,0.002118,0.001432
1401.0,1488.0,0.001432,0.0
