from_ts,to_ts,n_roster,n_survived,median_roster,median_survivors,delta
20170828215545,20170906075539,20,17,6.5,5.0,-1.5
20170906075539,20171003222127,20,12,6.0,7.0,1.0
20180713184413,20180811183210,41,17,62.0,126.0,64.0
20180811183210,20180903190932,40,18,72.5,85.5,13.0
20180903190932,20181009041204,41,19,97.0,176.0,79.0
20181009041204,20181120193012,44,20,50.5,131.5,81.0
20181120193012,20181202160427,39,23,75.0,156.0,81.0
20181202160427,20190106183346,41,14,77.0,166.0,89.0
20190106183346,20190202174450,39,15,81.0,146.0,65.0
20190202174450,20190302191238,37,17,61.0,112.0,51.0
20190302191238,20190401142537,40,15,62.5,112.0,49.5
20190401142537,20190504175924,41,23,112.0,119.0,7.0
20190504175924,20190601140725,43,20,95.0,136.5,41.5
20190601140725,20190702185657,41,16,108.0,128.5,20.5
20190702185657,20190804235801,41,12,111.0,112.5,1.5
20190804235801,20190902014642,41,16,82.0,114.0,32.0
20190902014642,20191007040048,40,16,72.0,109.5,37.5
20191007040048,20191104162049,43,19,96.0,120.0,24.0
20191104162049,20191204224816,38,16,115.0,174.0,59.0
20191204224816,20200104192057,39,17,120.0,146.0,26.0
20200104192057,20200201230817,43,15,107.0,205.0,98.0
20200201230817,20200301022400,38,19,144.0,170.0,26.0
20200301022400,20200405043136,43,13,101.0,230.0,129.0
20200405043136,20200502000355,39,18,69.0,142.0,73.0
20200502000355,20200605225618,38,14,113.0,148.5,35.5
20200605225618,20200905053349,49,11,45.0,75.0,30.0
20200905053349,20201006183529,47,16,79.0,185.0,106.0
20201006183529,20201103202336,36,16,133.5,202.5,69.0
20201103202336,20201201231154,40,15,122.0,208.0,86.0
20201201231154,20210101053654,34,18,247.0,287.5,40.5
20210101053654,20210201223908,43,16,132.0,248.5,116.5
20210201223908,20210303111721,34,13,222.5,286.0,63.5
20210303111721,20210402234717,34,14,82.5,373.5,291.0
20210402234717,20210503154223,36,17,188.0,232.0,44.0
20210503154223,20210606104821,34,10,200.5,311.5,111.0
20210606104821,20210708012606,42,10,180.5,245.0,64.5
20210708012606,20210805054303,35,11,149.0,334.0,185.0
20210805054303,20210903081541,32,12,231.0,277.5,46.5
20210903081541,20211004003235,30,9,169.5,237.0,67.5
20211004003235,20220117182654,27,3,135.0,135.0,0.0
20220117182654,20220810041228,34,4,146.0,550.0,404.0
20220810041228,20221209125144,33,3,303.0,453.0,150.0
20221209125144,20230216160733,34,9,167.5,216.0,48.5
20230216160733,20230307232656,31,14,321.0,428.0,107.0
20230307232656,20230907145417,35,5,198.0,572.0,374.0
20230907145417,20231215201024,38,6,138.0,163.0,25.0
20231215201024,20240213095958,29,5,100.0,212.0,112.0
20240213095958,20240405003439,24,8,265.0,352.0,87.0
20240405003439,20240519102045,25,10,261.0,313.0,52.0
20240519102045,20240905184907,28,3,259.0,341.0,82.0
20240905184907,20241118172120,28,6,210.5,313.0,102.5
20241118172120,20241222132357,27,10,207.0,417.0,210.0
20241222132357,20250115212655,23,9,242.0,442.0,200.0
20250115212655,20250207152014,25,13,244.0,245.0,1.0
20250207152014,20250302135202,28,11,231.5,294.0,62.5
20250302135202,20250401075847,27,10,216.0,304.0,88.0
20250401075847,20250506132721,32,8,322.5,379.5,57.0
20250506132721,20250629163614,37,14,324.0,331.0,7.0
20250629163614,20250726003342,30,13,236.0,343.0,107.0
20250726003342,20250807180659,32,15,233.5,250.0,16.5
20250807180659,20250904155852,27,10,200.0,290.0,90.0
20250904155852,20251001172331,38,11,268.0,341.0,73.0
20251001172331,20251102042745,39,19,277.0,362.0,85.0
20251102042745,20251201020448,39,21,310.0,347.0,37.0
20251201020448,20260101050858,37,17,327.0,504.0,177.0
20260101050858,20260201045413,39,14,324.0,322.5,-1.5
20260201045413,20260301042638,35,17,324.0,388.0,64.0
20260301042638,20260401001815,39,16,324.0,453.0,129.0
20260401001815,20260501173452,35,14,436.0,539.0,103.0
20260501173452,20260602010730,32,13,421.5,462.0,40.5
20260602010730,20260701155715,34,16,306.0,354.5,48.5
