timestamp,n_providers,with_growth,with_subscribers,with_rating,with_series,bytes
20111011093729,10,0,0,0,0,13235
20111105235151,10,0,0,0,0,12947
20111230085824,10,0,0,0,0,13840
20120114012406,10,0,0,0,0,13840
20120220091717,10,0,0,0,0,13580
20120313064503,10,0,0,0,0,13746
20120402101337,10,0,0,0,0,13747
20120509160707,10,0,0,0,0,14238
20120611045216,10,0,0,0,0,13763
20120717023308,10,0,0,0,0,13769
20120805222021,11,0,0,0,0,22708
20120915035117,10,0,0,0,0,14257
20121005032441,10,0,0,0,0,14449
20121102022936,20,0,0,0,0,25816
20121203192611,20,0,0,0,0,25089
20130103065407,20,0,0,0,0,25191
20130202005907,21,0,0,0,0,35293
20130301103949,20,0,0,0,0,35137
20130402015315,20,0,0,0,0,46671
20130505050937,20,0,0,0,0,39163
20130601031801,20,0,0,0,0,32450
20130703060656,20,0,0,0,0,32550
20130804182142,20,0,0,0,0,32181
20130904075823,20,0,0,0,0,32760
20131002175312,20,0,0,0,0,32766
20131104120023,20,0,0,0,0,33592
20131207070734,20,0,0,0,0,34712
20140103061845,20,0,0,0,0,34703
20140203090342,20,0,0,0,0,35935
20140301093446,20,0,0,0,0,37109
20140401174152,20,0,0,0,0,38956
20140502054201,20,0,0,0,0,40750
20140601062757,20,0,0,0,0,42410
20140701063622,20,0,0,0,0,42949
20140802080655,20,0,0,0,0,42949
20140904084017,20,0,0,0,0,43046
20141001222037,20,0,0,0,0,42465
20141102050410,20,0,0,0,0,50231
20141202081252,20,0,0,0,0,42887
20150103043453,20,0,0,0,0,48849
20150309232109,20,0,0,0,0,41238
20150407035108,20,0,0,0,0,42260
20150526183921,20,0,0,0,0,43333
20150602194514,20,0,0,0,0,43433
20150713140249,20,0,0,0,0,44123
20150813225450,20,0,0,0,0,43579
20151015191850,20,0,0,0,0,43468
20151106022912,20,0,0,0,0,43400
20151202051050,20,0,0,0,0,44171
20160106152141,20,0,0,0,0,44418
20160204001047,20,0,0,0,0,44427
20160303093231,20,0,0,0,0,44506
20160405005609,20,0,0,0,0,44936
20160505031323,20,0,0,0,0,45781
20160602045928,20,0,0,0,0,45312
20160708103825,20,0,0,0,0,45477
20160810075223,20,0,0,0,0,45475
20160902103727,20,0,0,0,0,45424
20161007213400,20,0,0,0,0,46797
20161107220510,20,0,0,0,0,47700
20161203025632,20,0,0,0,0,47827
20170105032527,20,0,0,0,0,47283
20170207224954,20,0,0,0,0,47005
20170301003003,20,0,0,0,0,46971
20170405022722,20,0,0,0,0,47028
20170508174357,20,0,0,0,0,47857
20170608083142,20,0,0,0,0,46404
20170704203906,30,0,20,0,0,67213
20170828215545,30,20,20,0,0,76694
20170906075539,30,20,20,0,0,76675
20171003222127,30,20,20,0,0,80258
20180713184413,42,41,41,0,0,232200
20180811183210,41,40,40,0,0,236289
20180903190932,43,41,42,0,0,236484
20181009041204,45,44,44,0,0,230378
20181120193012,42,39,41,0,0,225653
20181202160427,42,41,41,0,0,225704
20190106183346,42,39,41,0,0,225661
20190202174450,40,37,39,0,0,225330
20190302191238,42,40,42,0,0,224927
20190401142537,43,41,43,0,0,225670
20190504175924,44,43,44,0,0,225449
20190601140725,41,41,41,0,0,225449
20190702185657,42,41,42,0,0,225704
20190804235801,42,41,42,0,0,225354
20190902014642,42,40,42,0,0,225937
20191007040048,44,43,44,0,0,225801
20191104162049,39,38,39,0,0,225775
20191204224816,40,39,40,0,0,225458
20200104192057,44,43,44,0,0,225413
20200201230817,41,38,41,0,0,225399
20200301022400,45,43,45,0,0,224807
20200405043136,41,39,41,0,0,226494
20200502000355,41,38,41,0,0,227168
20200605225618,51,49,51,0,0,226926
20200905053349,50,47,50,0,0,227572
20201006183529,38,36,38,0,0,228143
20201103202336,41,40,41,0,0,239875
20201201231154,36,34,36,0,0,242854
20210101053654,44,43,44,0,0,243608
20210201223908,37,34,37,0,0,232501
20210303111721,39,34,39,0,0,232669
20210402234717,40,36,40,0,0,234657
20210503154223,39,34,39,0,0,234559
20210606104821,48,42,25,0,0,277976
20210708012606,42,35,17,0,0,278543
20210805054303,40,32,19,0,0,276334
20210903081541,41,30,17,0,0,277681
20211004003235,42,27,17,0,0,277163
20220117182654,42,34,14,0,0,278914
20220810041228,42,33,21,0,0,277695
20221209125144,41,34,18,0,0,282192
20230216160733,42,31,25,0,0,278717
20230307232656,40,35,19,0,0,280791
20230907145417,47,38,24,0,0,258719
20231215201024,43,29,28,0,0,283285
20240213095958,42,24,17,0,0,286573
20240405003439,40,25,19,0,0,282152
20240519102045,38,28,0,20,38,384303
20240905184907,39,28,25,16,38,268911
20241118172120,38,27,18,17,37,277064
20241222132357,41,23,17,23,40,283937
20250115212655,42,25,19,21,40,281633
20250207152014,42,28,19,22,41,279946
20250302135202,42,27,21,24,40,282130
20250401075847,48,32,22,21,44,284020
20250506132721,45,37,24,14,43,282121
20250629163614,39,30,23,15,38,276789
20250726003342,39,32,26,14,37,237955
20250807180659,36,27,22,12,34,242702
20250904155852,47,38,24,17,42,283203
20251001172331,50,39,37,16,47,386793
20251102042745,46,39,29,17,44,390721
20251201020448,47,37,30,21,43,390489
20260101050858,48,39,29,22,43,394451
20260201045413,45,35,26,20,41,398406
20260301042638,53,39,30,22,49,380341
20260401001815,49,35,25,17,44,407860
20260501173452,46,32,23,15,42,413094
20260602010730,49,34,24,24,46,417094
20260701155715,49,32,22,22,45,424418
