timestamp,signal_id,dom_order,growth_pct,growth_label,subscribers,rating,n_ratings,reliability_level,algo_pct,series_points,series_last
20111011093729,134,1,,,,,,,,,
20111011093729,335,2,,,,,,,,,
20111011093729,106,3,,,,,,,,,
20111011093729,361,4,,,,,,,,,
20111011093729,141,5,,,,,,,,,
20111011093729,328,6,,,,,,,,,
20111011093729,315,7,,,,,,,,,
20111011093729,149,8,,,,,,,,,
20111011093729,124,9,,,,,,,,,
20111011093729,191,10,,,,,,,,,
20111105235151,151,1,,,,,,,,,
20111105235151,376,2,,,,,,,,,
20111105235151,328,3,,,,,,,,,
20111105235151,258,4,,,,,,,,,
20111105235151,335,5,,,,,,,,,
20111105235151,191,6,,,,,,,,,
20111105235151,53,7,,,,,,,,,
20111105235151,384,8,,,,,,,,,
20111105235151,15,9,,,,,,,,,
20111105235151,279,10,,,,,,,,,
20111230085824,376,1,,,,,,,,,
20111230085824,191,2,,,,,,,,,
20111230085824,53,3,,,,,,,,,
20111230085824,258,4,,,,,,,,,
20111230085824,337,5,,,,,,,,,
20111230085824,328,6,,,,,,,,,
20111230085824,384,7,,,,,,,,,
20111230085824,151,8,,,,,,,,,
20111230085824,292,9,,,,,,,,,
20111230085824,331,10,,,,,,,,,
20120114012406,376,1,,,,,,,,,
20120114012406,191,2,,,,,,,,,
20120114012406,53,3,,,,,,,,,
20120114012406,258,4,,,,,,,,,
20120114012406,337,5,,,,,,,,,
20120114012406,328,6,,,,,,,,,
20120114012406,384,7,,,,,,,,,
20120114012406,151,8,,,,,,,,,
20120114012406,292,9,,,,,,,,,
20120114012406,331,10,,,,,,,,,
20120220091717,376,1,,,,,,,,,
20120220091717,384,2,,,,,,,,,
20120220091717,273,3,,,,,,,,,
20120220091717,331,4,,,,,,,,,
20120220091717,292,5,,,,,,,,,
20120220091717,328,6,,,,,,,,,
20120220091717,53,7,,,,,,,,,
20120220091717,191,8,,,,,,,,,
20120220091717,258,9,,,,,,,,,
20120220091717,15,10,,,,,,,,,
20120313064503,376,1,,,,,,,,,
20120313064503,384,2,,,,,,,,,
20120313064503,273,3,,,,,,,,,
20120313064503,331,4,,,,,,,,,
20120313064503,292,5,,,,,,,,,
20120313064503,328,6,,,,,,,,,
